SampleMethod,RecoveryDive,Sample.Volume.m3,Meters.Above.Bottom,SampleLocation,Time.Deployed.hrs.,Ash.depth..cm.,Site,Sample.ID,Larval.Type,Stage,Identification.Type,Taxonomic.Level ,Taxonomic.Group,Top.BLAST.Hit,Pairwise.Identity,BOLD.Collection.Code,Individuals.per.SampleID
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_030,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_031,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_032,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_033,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_034,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_035,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_036,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_037,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_038,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_039,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_040,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_041,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_042,Nectochaete,Larval,morphology,Class,Polychaeta,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_044,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_045,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_046,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_047,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_048,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_049,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_050,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_051,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_052,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_053,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_054,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_055,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_056,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
McLane,J21402,20,2 mab,Within vents,12,23-54,Kilo Moana,TN401_J21402_MC_057,Trochophore,Larval,morphology,NA,NA,NA,NA,NA,1
